"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://124revue.hypotheses.org";"1 fois par an";"archéologie";"Archéologie, Histoire de l'art";"un outil et un espace de valorisation des recherches effectuées par les doctorants de l’École Doctorale 124, Histoire de l’art et archéologie, de l’Université Paris-Sorbonne";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://2eme-guerre.over-blog.com";"1 fois par an";"histoire";"seconde guerre mondiale";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://52.catholique.fr";"1 fois par an";"religions";"christianisme / catholicisme / diocèse / Haute-Marne / Langres";"Diocèse de Langres";"http://catholique-hautemarne.cef.fr (01/06/2016)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://8mars.info";"1 fois par an";"sociologie";"évenement / femmes";"8 mars journée internationale des femmes";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aapa.e-monsite.com";"1 fois par an";"archéologie";"Archéologie sous marine, Antilles";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aboubillou.hypotheses.org";"1 fois par an";"archéologie";"Egypte, fouilles archéologiques, Kôm Abou Billou,  Mefkat, Térénouthis";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://actapol.hypotheses.org";"1 fois par an";"histoire";"histoire; recherche; Révolution";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://actesbranly.revues.org";"1 fois par an";"ethnologie";"2105-2735";"Les Actes de colloques (Musée du quai Branly)";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://adam.mmsh.univ-aix.fr";"1 fois par an";"ethnologie";"Association d'anthropologie méditerranéenne";"Adam";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://adane.canalblog.com";"1 fois par an";"archéologie";"Archéologie, Poitou, Charente, Vendée, Association";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://adlfi.revues.org";"1 fois par an";"archéologie";"France, archéologie";"Revue en ligne: ""ADLFI. Archéologie de la France - Informations"", AdlFI publie des notices présentant l'actualité des opérations archéologiques menées en France";"http://www.openedition.org/10840 (06/01/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://advertisinghistory.hypotheses.org";"1 fois par an";"histoire";"Histoire; Chine; publicité; recherche";;"http://www.openedition.org/11544 (06/03/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://afeaf.hypotheses.org";"1 fois par an";"archéologie";"Europe - Age du Fer";"Association Française pour l’Étude de l’Age du Fer, Carnet de recherche";"http://www.openedition.org/9076 (06/01/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://afhmt.hypotheses.org";"1 fois par an";"histoire";"Histoire / Travail";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://africa.hypotheses.org";"1 fois par an";"archéologie";"Afrique, Antiquité, fouilles archéologiques";"Africa Antiqua est un carnet de veille sur le Maghreb antique (Ier millénaire av. J.-C. - VIIIe siècle ap. J.-C.). Il relaie l'actualité scientifique et fournit des outils méthodologiques dans les domaines de l'archéologie et de l'histoire, avec pour objectif de tenir informée la communauté des africanistes et d'apporter une aide à la recherche pour les doctorants. En s'appuyant sur un annuaire des thèses et une veille participative, il a pour vocation de développer le réseau des chercheurs et de favoriser les échanges.";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://africanistes.org";"2 fois par an";"ethnologie";"Société des africanistes";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://africanistes.revues.org";"1 fois par an";"archéologie";"Afrique, Histoire, archéologie";"Revue en ligne: ""Journal des africanistes"", Revue de science sociale consacrée à l'étude de l'Afrique inactivé le 29/03/2016: site actuel identique au site archivé";"http://www.openedition.org/488 (06/01/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://afriques.revues.org";"1 fois par an";"archéologie";"Afrique, Histoire ancienne";"Revue en ligne: ""Afriques: Débats, méthodes et terrains d’histoire"", Revue consacrée aux études sur l’Afrique ancienne";"http://www.openedition.org/6450 (06/01/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://afrorient.hypotheses.org";"1 fois par an";"histoire";"Mer Rouge, Afrique Orientale, Océan Indien, XIXe siècle, XXe siècle";"Blog du séminaire IMAF-EHESS";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://agedufer.e-monsite.com";"1 fois par an";"archéologie";"Âge du Fer, Auvergne";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://ager.hypotheses.org";"1 fois par an";"archéologie";"Europe, France, Préhistoire et antiquité, Archéologie, Histoire rurale, Histoire romaine";"Association d'étude du monde rural gallo-romain, Carnet de recherche";"http://www.openedition.org/12436 (06/01/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aggiornamento.hypotheses.org";"1 fois par an";"histoire";"histoire";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aggraphe.centerblog.net";"1 fois par an";"archéologie";"Inscription lapidaires, épigraphie, cadrans solaires";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://agora.hypotheses.org";"1 fois par an";"sociologie";"carnet de recherche / sciences sociales";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aha.hypotheses.org";"1 fois par an";"ethnologie";"Atelier d'hybridations anthropologiques / arts et techniques / carnets de recherche";"AHA, initiative du laboratoire d'anthropologie des mondes contemporains de l'université libre de Bruxelles";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://ahcesr.hypotheses.org";"1 fois par an";"histoire";"histoire; recherche";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://ahmuf.hypotheses.org";"1 fois par an";"histoire";"histoire; recherche; Ancien Régime";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://ahrf.revues.org";"1 fois par an";"histoire";"histoire";;"http://ahrf.revues.org/11117 (25/02/2015)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aihce.hypotheses.org";"1 fois par an";"histoire";"histoire; Europe; recherche";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://aitia.hypotheses.org";"1 fois par an";"philosophie";"Antiquité, Philosophie, lien causal";"Ce carnet a pour but de présenter et diffuser les activités de recherche liées au Groupement de recherche international (GDRI) Aitia / Aitiai. Le lien causal dans la pensée antique : origines, formes, transformations (2014-2017).";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://ajceramique.weebly.com/index.html";"1 fois par an";"archéologie";"Céramologie, céramique";"ancien http://ceramique.chez.com/";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://albalat.hypotheses.org";"1 fois par an";"archéologie";"Albalat (Espagne), Fouilles archéologiques, Al-Andalus";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://alhim.revues.org";"1 fois par an";"histoire";"non renseigné";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://alinalia.free.fr";"1 fois par an";"philosophie";"Alain (Emile Chartier)";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://alma.hypotheses.org";"1 fois par an";"*non classé";"follower Twitter / archives / recherche / PHS ?";"""Carnet de l'axe ALMA (archives, livres, manuscrits et autres supports d’information) du CERHIO""";
"Philosophie, histoire, sciences de l'homme (PHS)";"http://almukhatabatjournal.unblog.fr";"1 fois par an";"philosophie";"Revue philosophie";;
"Philosophie, histoire, sciences de l'homme (PHS)";"http://alphasociologie.blogspot.fr";"1 fois par an";"sociologie";"blog / sociologie générale";"articles didactiques";"http://alphasociologie.blogspot.com (07/05/2012)"
"Philosophie, histoire, sciences de l'homme (PHS)";"http://alteregorennes.canalblog.com";"1 fois par an";"archéologie";"Archéologie, Solidarité, Rennes, Bretagne";;
