"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Vidéos (VIDEO)";"http://blog.dailymotion.com";"2 fois par an";"auto-diffusés";"Dailymotion";;
"Vidéos (VIDEO)";"http://kids.dailymotion.com/Lelivredelajungle";"2 fois par an";"filières du cinéma et de l'audiovisuel";"Cinéma / Dessins animés";"http://www.manga-news.tv/";"http://www.dailymotion.com/Lelivredelajungle (28/09/2014)"
"Vidéos (VIDEO)";"http://osons-savoir.com";"2 fois par an";"*non classé";"Webdocumentaires / Émigration et immigration / Europe";;"http://osons-savoir.com/webdoc/ (20/09/2013)"
"Vidéos (VIDEO)";"http://vimeo.com/78327400";"2 fois par an";"auto-diffusés";"Prado, Patrick (1940-....) / Bretagne";"RAMEAU (JF)";
"Vidéos (VIDEO)";"http://vimeo.com/frerespurple";"2 fois par an";"auto-diffusés";"Courts métrages / Vidéo-clips";;
"Vidéos (VIDEO)";"http://vimeo.com/imagesenbibliotheques";"2 fois par an";"filières du cinéma et de l'audiovisuel";"Association Images en bibliothèques (Paris) / Films documentaires / Festivals de cinéma";"Mois du film documentaire";
"Vidéos (VIDEO)";"http://vimeo.com/sebatv/";"2 fois par an";"auto-diffusés";"Audiovisuel--Production et réalisation";;
"Vidéos (VIDEO)";"http://vimeo.com/user2634227";"2 fois par an";"auto-diffusés";"Films d'animation / Cinéma--Production et réalisation";;
"Vidéos (VIDEO)";"http://vimeo.com/user483311";"2 fois par an";"filières du cinéma et de l'audiovisuel";"Novanima / Sociétés de production de cinéma -- France";"site du membre : http://www.novanima.fr/";"http://vimeo.com/user483311/videos (06/11/2013)"
"Vidéos (VIDEO)";"http://vimeo.com/user4869903";"2 fois par an";"filières du cinéma et de l'audiovisuel";"Films documentaires / Irak / Webdocumentaires";;
"Vidéos (VIDEO)";"http://vimeo.com/user8013861";"2 fois par an";"communication institutionnelle et associative";"Notre-Dame-des-Landes (Loire-Atlantique) / militantisme";;
"Vidéos (VIDEO)";"http://vimeo.com/user9223304";"2 fois par an";"communication institutionnelle et associative";"économie";"film coproduit par la mairie de Toulouse et les zooms verts : histoire d'une monnaie, sol-violette, film sol-violette récupéré rien depuis 2 ans, peu de vidéos";
"Vidéos (VIDEO)";"http://www.dailymotion.com/_Caprice_";"2 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Bande-annonce";
"Vidéos (VIDEO)";"http://www.dailymotion.com/_TONYTRUAND_";"2 fois par an";"auto-diffusés";"cinéma / réalisateur";"46 vidéos en 2011 - site du membre: http://www.tonytruand.com -";
"Vidéos (VIDEO)";"http://www.dailymotion.com//AirCinema";"2 fois par an";"auto-diffusés";"Web-série";;
"Vidéos (VIDEO)";"http://www.dailymotion.com//pauseclopetv/";"2 fois par an";"auto-diffusés";"Web-série";;
"Vidéos (VIDEO)";"http://www.dailymotion.com/10tom";"2 fois par an";"filières de la musique et de l'édition phonographique";"musique";"65 vidéos en 2011 - site du membre: http://www.cpasrigolo.com -";
"Vidéos (VIDEO)";"http://www.dailymotion.com/13bisrecords";"2 fois par an";"filières de la musique et de l'édition phonographique";"label / musique";"107 vidéos en 2011 - site du membre: http://www.myspace.com/13bisrecords -";
"Vidéos (VIDEO)";"http://www.dailymotion.com/18-35";"2 fois par an";"filières du cinéma et de l'audiovisuel";"Audiovisuel -- Production et réalisation";"114 vidéos en 2011 - 125 en novembre 2013 - 139 en juin 2014 site du membre:  http://www.1835.fr/ vidéos d'une agence de production audiovisuelle intitulée 18 35";
"Vidéos (VIDEO)";"http://www.dailymotion.com/2012Hulot";"2 fois par an";"communication institutionnelle et associative";"Europe écologie Les Verts / Nicolas Hulot / politique / Élections présidentielles 2012";"21 vidéos en 2011 - rien depuis 12 mois - site du membre: http://www.2012hulot.fr  -";
"Vidéos (VIDEO)";"http://www.dailymotion.com/20Minutes";"2 fois par an";"communication institutionnelle et associative";"actualités / presse";"495 vidéos en 2011 - site du membre:  -";
"Vidéos (VIDEO)";"http://www.dailymotion.com/28minutes";"2 fois par an";"auto-diffusés";"journalisme";"28' est le rendez-vous quotidien 100% bimédia d'ARTE, du lundi au vendredi dès 20h05   703 vidéos en juin 2014, inactivé car cela fait partie de la télévision";
"Vidéos (VIDEO)";"http://www.dailymotion.com/2bbbernard";"2 fois par an";"auto-diffusés";"Baissat, Bernard";;
"Vidéos (VIDEO)";"http://www.dailymotion.com/2bbbernard#video=xnbggs";"2 fois par an";"distribution de contenus";"non renseigné";;
"Vidéos (VIDEO)";"http://www.dailymotion.com/2FRE93";"2 fois par an";"auto-diffusés";"réalisateur";"5 vidéos en 2011 - site du membre: http://www.urbanvibrationproduction.com -";
"Vidéos (VIDEO)";"http://www.dailymotion.com/3615polyprod";"2 fois par an";"auto-diffusés";"Parodie (art)";"1474 vidéos en 2011 - site du membre:  -";
